,Unnamed: 0.1,Unnamed: 0,Empresas,Endereços,Link Maps,Tipo,Latitude,Longitude
1600,1900,1900,Macisa Materias Para Construção,"R. Frei Caneca, 79 - Centro, Rio de Janeiro - RJ, 20211-005",https://www.google.com/maps/place/Macisa+Materias+Para+Constru%C3%A7%C3%A3o/data=!4m7!3m6!1s0x997f6dbb7d87cb:0x6c7df7cda1195901!8m2!3d-22.9099242!4d-43.1909568!16s%2Fg%2F1tm8ltkf!19sChIJy4d9u21_mQARAVkZoc33fWw?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.9099242,-43.1909568
1601,1901,1901,Cotelli ferragens,"Av. João Ribeiro, 94 - Pilares, Rio de Janeiro - RJ, 20750-090",https://www.google.com/maps/place/Cotelli+ferragens/data=!4m7!3m6!1s0x997cf96fcc2d9b:0x964973b5d5a34b5b!8m2!3d-22.8794569!4d-43.2948311!16s%2Fg%2F1ptw4b96r!19sChIJmy3Mb_l8mQARW0uj1bVzSZY?authuser=0&hl=pt-BR&rclk=1,Loja de ferramentas,-22.8794569,-43.2948311
1602,1902,1902,Portobello Shop Botafogo,"R. Prof. Álvaro Rodrigues, 424 - Loja A - Botafogo, Rio de Janeiro - RJ, 22280-040",https://www.google.com/maps/place/Portobello+Shop+Botafogo/data=!4m7!3m6!1s0x997fe16b990d67:0x8f61dfc6f0e85dc0!8m2!3d-22.9528869!4d-43.1850585!16s%2Fg%2F12hm440s0!19sChIJZw2Za-F_mQARwF3o8MbfYY8?authuser=0&hl=pt-BR&rclk=1,Loja de pisos,-22.9528869,-43.1850585
1603,1903,1903,Zimbro Ferragens,"R. Padre Januário, 164 - Inhaúma, Rio de Janeiro - RJ, 20765-140",https://www.google.com/maps/place/Zimbro+Ferragens/data=!4m7!3m6!1s0x997d5f13ceab2f:0x380ee69ee84f8625!8m2!3d-22.8730647!4d-43.282475!16s%2Fg%2F11gmyv0tz3!19sChIJL6vOE199mQARJYZP6J7mDjg?authuser=0&hl=pt-BR&rclk=1,Loja de ferramentas,-22.8730647,-43.282475
1604,1904,1904,General da Construção,"R. Carmem Cinira, 150 - Inhaúma, Rio de Janeiro - RJ, 20765-210",https://www.google.com/maps/place/General+da+Constru%C3%A7%C3%A3o/data=!4m7!3m6!1s0x997ded7db47d25:0x12501bef2f553141!8m2!3d-22.86767!4d-43.2837002!16s%2Fg%2F11fjw0wvpq!19sChIJJX20fe19mQARQTFVL-8bUBI?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.86767,-43.2837002
1605,1905,1905,MP FERRAGENS de INHAÚMA,"Estrada Adhemar Bebiano, 3456 - Engenho da Rainha, Rio de Janeiro - RJ, 20765-170",https://www.google.com/maps/place/MP+FERRAGENS+de+INHA%C3%9AMA/data=!4m7!3m6!1s0x997d007d2d3665:0xca3be0025766b85d!8m2!3d-22.8655061!4d-43.289145!16s%2Fg%2F11lmb0b_lx!19sChIJZTYtfQB9mQARXbhmVwLgO8o?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8655061,-43.289145
1606,1906,1906,Parafusos Especiais,"Rua Dona Luíza, 11 - Inhaúma, Rio de Janeiro - RJ, 20765-020",https://www.google.com/maps/place/Parafusos+Especiais/data=!4m7!3m6!1s0x997c5c14632849:0x245a4c4b019ad73!8m2!3d-22.8740797!4d-43.2850149!16s%2Fg%2F11bx2gb794!19sChIJSShjFFx8mQARc60ZsMSkRQI?authuser=0&hl=pt-BR&rclk=1,Loja de ferramentas,-22.8740797,-43.2850149
1607,1907,1907,Bazar Ivurarema,"20766-120, frente, R. Ivurarema, 46 - Inhaúma, Rio de Janeiro - RJ, 20766-120",https://www.google.com/maps/place/Bazar+Ivurarema/data=!4m7!3m6!1s0x997c6620a33b7f:0x1acc7338fc72ddcd!8m2!3d-22.8680764!4d-43.2811228!16s%2Fg%2F11c535bmf7!19sChIJfzujIGZ8mQARzd1y_DhzzBo?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8680764,-43.2811228
1608,1909,1909,BAZAR ARCO IRIS,"R. Padre Januário, 108 - Inhaúma, Rio de Janeiro - RJ, 20765-140",https://www.google.com/maps/place/BAZAR+ARCO+IRIS/data=!4m7!3m6!1s0x997c5d18e6fb39:0xf80b2659791b7175!8m2!3d-22.8728346!4d-43.2819277!16s%2Fg%2F1tfk5nf3!19sChIJOfvmGF18mQARdXEbeVkmC_g?authuser=0&hl=pt-BR&rclk=1,Bazar,-22.8728346,-43.2819277
1609,1910,1910,CityLar Materiais de Construção - Piedade (Vila Real),"R. Vírgem Peregrina, 152 - Piedade, Rio de Janeiro - RJ, 21380-070",https://www.google.com/maps/place/CityLar+Materiais+de+Constru%C3%A7%C3%A3o+-+Piedade+%28Vila+Real%29/data=!4m7!3m6!1s0x997de08dc6ca65:0x39d654afa18ee63!8m2!3d-22.8782185!4d-43.309593!16s%2Fg%2F11w22sb22g!19sChIJZcrGjeB9mQARY-4Y-kplnQM?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8782185,-43.309593
